Date Time, Water Level, Sigma, I, L 
2016-01-01 00:00,1.237,0.007,0,0
2016-01-01 01:00,1.506,0.007,0,0
2016-01-01 02:00,1.683,0.003,0,0
2016-01-01 03:00,1.824,0.007,0,0
2016-01-01 04:00,1.906,0.010,0,0
2016-01-01 05:00,1.814,0.007,0,0
2016-01-01 06:00,1.673,0.013,0,0
2016-01-01 07:00,1.450,0.007,0,0
2016-01-01 08:00,1.253,0.003,0,0
2016-01-01 09:00,1.082,0.003,0,0
2016-01-01 10:00,0.892,0.003,0,0
2016-01-01 11:00,0.695,0.003,0,0
2016-01-01 12:00,0.630,0.003,0,0
2016-01-01 13:00,0.761,0.003,0,0
2016-01-01 14:00,0.931,0.003,0,0
2016-01-01 15:00,1.155,0.003,0,0
2016-01-01 16:00,1.220,0.010,0,0
2016-01-01 17:00,1.115,0.013,0,0
2016-01-01 18:00,1.014,0.013,0,0
2016-01-01 19:00,0.892,0.013,0,0
2016-01-01 20:00,0.702,0.013,0,0
2016-01-01 21:00,0.557,0.013,0,0
2016-01-01 22:00,0.485,0.010,0,0
2016-01-01 23:00,0.548,0.003,0,0
2016-01-02 00:00,0.643,0.003,0,0
2016-01-02 01:00,0.738,0.003,0,0
2016-01-02 02:00,0.968,0.010,0,0
2016-01-02 03:00,1.155,0.007,0,0
2016-01-02 04:00,1.240,0.003,0,0
2016-01-02 05:00,1.246,0.000,0,0
2016-01-02 06:00,1.069,0.003,0,0
2016-01-02 07:00,0.859,0.003,0,0
2016-01-02 08:00,0.656,0.010,0,0
2016-01-02 09:00,0.423,0.013,0,0
2016-01-02 10:00,0.223,0.007,0,0
2016-01-02 11:00,0.046,0.003,0,0
2016-01-02 12:00,-0.049,0.003,0,0
2016-01-02 13:00,-0.013,0.003,0,0
2016-01-02 14:00,0.177,0.003,0,0
2016-01-02 15:00,0.430,0.007,0,0
2016-01-02 16:00,0.685,0.003,0,0
2016-01-02 17:00,0.895,0.010,0,0
2016-01-02 18:00,1.036,0.010,0,0
2016-01-02 19:00,1.073,0.013,0,0
2016-01-02 20:00,0.968,0.007,0,0
2016-01-02 21:00,0.886,0.007,0,0
2016-01-02 22:00,0.840,0.003,0,0
2016-01-02 23:00,0.869,0.010,0,0
2016-01-03 00:00,0.915,0.007,0,0
2016-01-03 01:00,0.987,0.016,0,0
2016-01-03 02:00,1.089,0.007,0,0
