Date Time, Water Level, Sigma, I, L 
2016-02-01 00:00,0.213,0.005,0,0
2016-02-01 01:00,0.246,0.001,0,0
2016-02-01 02:00,0.272,0.001,0,0
2016-02-01 03:00,0.315,0.002,0,0
2016-02-01 04:00,0.356,0.003,0,0
2016-02-01 05:00,0.349,0.002,0,0
2016-02-01 06:00,0.324,0.003,0,0
2016-02-01 07:00,0.287,0.001,0,0
2016-02-01 08:00,0.208,0.001,0,0
2016-02-01 09:00,0.138,0.002,0,0
2016-02-01 10:00,0.117,0.002,0,0
2016-02-01 11:00,0.100,0.003,0,0
2016-02-01 12:00,0.096,0.005,0,0
2016-02-01 13:00,0.132,0.003,0,0
2016-02-01 14:00,0.199,0.001,0,0
2016-02-01 15:00,0.264,0.002,0,0
2016-02-01 16:00,0.314,0.003,0,0
2016-02-01 17:00,0.355,0.002,0,0
2016-02-01 18:00,0.371,0.001,0,0
2016-02-01 19:00,0.345,0.002,0,0
2016-02-01 20:00,0.283,0.004,0,0
2016-02-01 21:00,0.222,0.002,0,0
2016-02-01 22:00,0.178,0.002,0,0
2016-02-01 23:00,0.124,0.002,0,0
2016-02-02 00:00,0.066,0.002,0,0
2016-02-02 01:00,0.060,0.001,0,0
2016-02-02 02:00,0.089,0.001,0,0
2016-02-02 03:00,0.116,0.001,0,0
2016-02-02 04:00,0.162,0.001,0,0
2016-02-02 05:00,0.196,0.001,0,0
2016-02-02 06:00,0.194,0.001,0,0
2016-02-02 07:00,0.163,0.001,0,0
2016-02-02 08:00,0.109,0.001,0,0
2016-02-02 09:00,0.047,0.002,0,0
2016-02-02 10:00,-0.020,0.002,0,0
2016-02-02 11:00,-0.042,0.003,0,0
2016-02-02 12:00,-0.056,0.002,0,0
2016-02-02 13:00,-0.036,0.004,0,0
2016-02-02 14:00,0.021,0.003,0,0
2016-02-02 15:00,0.090,0.004,0,0
2016-02-02 16:00,0.169,0.004,0,0
2016-02-02 17:00,0.261,0.003,0,0
2016-02-02 18:00,0.317,0.004,0,0
2016-02-02 19:00,0.339,0.001,0,0
2016-02-02 20:00,0.349,0.004,0,0
2016-02-02 21:00,0.329,0.002,0,0
2016-02-02 22:00,0.294,0.001,0,0
2016-02-02 23:00,0.275,0.002,0,0
2016-02-03 00:00,0.268,0.008,0,0
2016-02-03 01:00,0.289,0.001,0,0
2016-02-03 02:00,0.337,0.002,0,0
2016-02-03 03:00,0.373,0.002,0,0
2016-02-03 04:00,0.429,0.018,0,0
2016-02-03 05:00,0.458,0.001,0,0
2016-02-03 06:00,0.480,0.003,0,0
2016-02-03 07:00,0.481,0.001,0,0
2016-02-03 08:00,0.424,0.005,0,0
2016-02-03 09:00,0.370,0.002,0,0
2016-02-03 10:00,0.311,0.001,0,0
2016-02-03 11:00,0.273,0.002,0,0
2016-02-03 12:00,0.232,0.001,0,0
2016-02-03 13:00,0.220,0.001,0,0
2016-02-03 14:00,0.247,0.003,0,0
2016-02-03 15:00,0.315,0.009,0,0
2016-02-03 16:00,0.414,0.003,0,0
2016-02-03 17:00,0.535,0.005,0,0
2016-02-03 18:00,0.596,0.005,0,0
2016-02-03 19:00,0.646,0.002,0,0
2016-02-03 20:00,0.714,0.003,0,0
2016-02-03 21:00,0.731,0.004,0,0
2016-02-03 22:00,0.649,0.004,0,0
2016-02-03 23:00,0.662,0.004,0,0
2016-02-04 00:00,0.683,0.004,0,0
2016-02-04 01:00,0.506,0.003,0,0
2016-02-04 02:00,0.502,0.001,0,0
2016-02-04 03:00,0.560,0.002,0,0
2016-02-04 04:00,0.506,0.001,0,0
2016-02-04 05:00,0.553,0.001,0,0
2016-02-04 06:00,0.646,0.001,0,0
2016-02-04 07:00,0.620,0.001,0,0
2016-02-04 08:00,0.556,0.001,0,0
2016-02-04 09:00,0.524,0.001,0,0
2016-02-04 10:00,0.441,0.002,0,0
2016-02-04 11:00,0.344,0.003,0,0
2016-02-04 12:00,0.283,0.002,0,0
2016-02-04 13:00,0.248,0.002,0,0
2016-02-04 14:00,0.214,0.002,0,0
2016-02-04 15:00,0.202,0.003,0,0
2016-02-04 16:00,0.255,0.002,0,0
2016-02-04 17:00,0.345,0.001,0,0
2016-02-04 18:00,0.409,0.004,0,0
2016-02-04 19:00,0.461,0.002,0,0
2016-02-04 20:00,0.505,0.002,0,0
2016-02-04 21:00,0.495,0.001,0,0
2016-02-04 22:00,0.440,0.003,0,0
2016-02-04 23:00,0.374,0.002,0,0
2016-02-05 00:00,0.301,0.004,0,0
2016-02-05 01:00,0.214,0.002,0,0
2016-02-05 02:00,0.142,0.003,0,0
2016-02-05 03:00,0.083,0.003,0,0
2016-02-05 04:00,0.031,0.002,0,0
2016-02-05 05:00,0.026,0.003,0,0
2016-02-05 06:00,0.076,0.002,0,0
2016-02-05 07:00,0.111,0.002,0,0
2016-02-05 08:00,0.117,0.001,0,0
2016-02-05 09:00,0.112,0.001,0,0
2016-02-05 10:00,0.053,0.001,0,0
2016-02-05 11:00,-0.039,0.002,0,0
2016-02-05 12:00,-0.116,0.001,0,0
2016-02-05 13:00,-0.189,0.002,0,0
2016-02-05 14:00,-0.229,0.001,0,0
2016-02-05 15:00,-0.263,0.001,0,0
2016-02-05 16:00,-0.264,0.002,0,0
2016-02-05 17:00,-0.247,0.005,0,0
2016-02-05 18:00,-0.205,0.005,0,0
2016-02-05 19:00,-0.140,0.004,0,0
2016-02-05 20:00,-0.022,0.003,0,0
2016-02-05 21:00,0.014,0.004,0,0
2016-02-05 22:00,0.012,0.004,0,0
2016-02-05 23:00,0.031,0.003,0,0
2016-02-06 00:00,0.015,0.003,0,0
2016-02-06 01:00,-0.018,0.002,0,0
2016-02-06 02:00,-0.043,0.001,0,0
2016-02-06 03:00,-0.045,0.004,0,0
2016-02-06 04:00,-0.041,0.001,0,0
2016-02-06 05:00,-0.001,0.001,0,0
2016-02-06 06:00,0.054,0.001,0,0
2016-02-06 07:00,0.122,0.001,0,0
2016-02-06 08:00,0.195,0.000,0,0
2016-02-06 09:00,0.249,0.000,0,0
2016-02-06 10:00,0.263,0.001,0,0
2016-02-06 11:00,0.233,0.006,0,0
2016-02-06 12:00,0.183,0.003,0,0
2016-02-06 13:00,0.121,0.002,0,0
2016-02-06 14:00,0.080,0.001,0,0
2016-02-06 15:00,0.068,0.000,0,0
2016-02-06 16:00,0.091,0.001,0,0
2016-02-06 17:00,0.165,0.002,0,0
2016-02-06 18:00,0.263,0.002,0,0
2016-02-06 19:00,0.385,0.002,0,0
2016-02-06 20:00,0.500,0.001,0,0
2016-02-06 21:00,0.574,0.002,0,0
2016-02-06 22:00,0.609,0.005,0,0
2016-02-06 23:00,0.594,0.004,0,0
2016-02-07 00:00,0.536,0.002,0,0
2016-02-07 01:00,0.453,0.002,0,0
2016-02-07 02:00,0.385,0.002,0,0
2016-02-07 03:00,0.319,0.004,0,0
2016-02-07 04:00,0.241,0.004,0,0
2016-02-07 05:00,0.181,0.001,0,0
2016-02-07 06:00,0.185,0.001,0,0
2016-02-07 07:00,0.245,0.001,0,0
2016-02-07 08:00,0.308,0.001,0,0
2016-02-07 09:00,0.359,0.003,0,0
2016-02-07 10:00,0.387,0.001,0,0
2016-02-07 11:00,0.362,0.000,0,0
2016-02-07 12:00,0.281,0.001,0,0
2016-02-07 13:00,0.200,0.007,0,0
2016-02-07 14:00,0.115,0.001,0,0
2016-02-07 15:00,0.042,0.001,0,0
2016-02-07 16:00,-0.008,0.001,0,0
2016-02-07 17:00,-0.034,0.002,0,0
2016-02-07 18:00,-0.007,0.001,0,0
2016-02-07 19:00,0.079,0.001,0,0
2016-02-07 20:00,0.194,0.002,0,0
2016-02-07 21:00,0.310,0.001,0,0
2016-02-07 22:00,0.390,0.001,0,0
2016-02-07 23:00,0.415,0.002,0,0
2016-02-08 00:00,0.391,0.002,0,0
2016-02-08 01:00,0.320,0.001,0,0
2016-02-08 02:00,0.238,0.002,0,0
2016-02-08 03:00,0.156,0.001,0,0
2016-02-08 04:00,0.113,0.001,0,0
2016-02-08 05:00,0.055,0.001,0,0
2016-02-08 06:00,0.012,0.001,0,0
2016-02-08 07:00,0.040,0.001,0,0
2016-02-08 08:00,0.094,0.003,0,0
2016-02-08 09:00,0.155,0.003,0,0
2016-02-08 10:00,0.205,0.002,0,0
2016-02-08 11:00,0.227,0.001,0,0
2016-02-08 12:00,0.218,0.003,0,0
2016-02-08 13:00,0.181,0.002,0,0
2016-02-08 14:00,0.124,0.001,0,0
2016-02-08 15:00,0.084,0.003,0,0
2016-02-08 16:00,0.067,0.003,0,0
2016-02-08 17:00,0.081,0.002,0,0
2016-02-08 18:00,0.152,0.001,0,0
2016-02-08 19:00,0.254,0.002,0,0
2016-02-08 20:00,0.379,0.005,0,0
2016-02-08 21:00,0.554,0.004,0,0
2016-02-08 22:00,0.694,0.004,0,0
2016-02-08 23:00,0.781,0.001,0,0
2016-02-09 00:00,0.838,0.001,0,0
2016-02-09 01:00,0.849,0.002,0,0
2016-02-09 02:00,0.812,0.002,0,0
2016-02-09 03:00,0.783,0.001,0,0
2016-02-09 04:00,0.759,0.001,0,0
2016-02-09 05:00,0.740,0.002,0,0
2016-02-09 06:00,0.738,0.003,0,0
2016-02-09 07:00,0.773,0.002,0,0
2016-02-09 08:00,0.832,0.001,0,0
2016-02-09 09:00,0.907,0.002,0,0
2016-02-09 10:00,1.000,0.001,0,0
2016-02-09 11:00,1.050,0.001,0,0
2016-02-09 12:00,1.045,0.002,0,0
2016-02-09 13:00,0.998,0.001,0,0
2016-02-09 14:00,0.924,0.001,0,0
2016-02-09 15:00,0.828,0.002,0,0
2016-02-09 16:00,0.759,0.001,0,0
2016-02-09 17:00,0.699,0.001,0,0
2016-02-09 18:00,0.647,0.001,0,0
